Course, From, Skill
Predicting Salaries with Decision Trees, Coursera Project Network, Machine Learning  Python Programming
Data Analytics en Power BI, Coursera Project Network, Data Analysis  Power BI  Python Programming
Data Visualization with Plotly Express, Coursera Project Network, Data Visualization  Interactive Data Visualization  Machine Learning  Python Programming  Data Science
MySQL-for-Data-Engineering, Duke University, Linux  Python Programming
Perform Sentiment Analysis with scikit-learn, Coursera Project Network, Machine Learning  Python Programming  Data Analysis  Data Science
Data Visualization with OpenAI API: Generate code with GenAI, Coursera Project Network, Data Analysis  Data Visualization  Python Programming
Deploying a Pytorch Computer Vision Model API to Heroku, Coursera Project Network, Computer Vision  Machine Learning  Python Programming
Deep-Dive into Tensorflow Activation Functions, Coursera Project Network, Deep Learning  Python Programming  Tensorflow
Diabetes Disease Detection with XG-Boost and Neural Networks, Coursera Project Network, Deep Learning  Machine Learning  Python Programming
Access Bioinformatics Databases with Biopython, Coursera Project Network, Bioinformatics  Python Programming
Robotics: Capstone, University of Pennsylvania, Python Programming
Data Management and Visualization, Wesleyan University, Computer Programming  Data Management  Leadership and Management  Python Programming
Application Programming Fundamentals, LearnQuest, Computer Programming  Programming Principles  Algorithms  Python Programming
Deploy A Microsoft Azure Speech To Text Web App, Coursera Project Network, Microsoft Azure  Python Programming
Transfer Learning for Food Classification, Coursera Project Network, Deep Learning  Machine Learning  Computer Vision  Python Programming
Introduction Pratique à YAML, Coursera Project Network, Computer Programming  Data Management  Python Programming
Get Familiar with ML basics in a Kaggle Competition, Coursera Project Network, Python Programming
Exploratory Data Analysis with Seaborn, Coursera Project Network, Data Analysis  Data Visualization  Exploratory Data Analysis  Machine Learning  Python Programming  Data Science
Automated Machine Learning en Power BI Clasificación, Coursera Project Network, Python Programming
الإعلان من خلال فيسبوك, Meta, Programming Principles  Algebra  Calculus  Computer Programming  Computer Programming Tools  Mathematics  Theoretical Computer Science  Algorithms  Computational Logic  Python Programming  Advertising  Marketing
Cloud Networking, University of Illinois at Urbana-Champaign, Cloud Computing  Computer Networking  Cloud Infrastructure  Network Architecture  Software-Defined Networking  Network Analysis  Computer Programming  Python Programming
Robotic Mapping and Trajectory Generation, University of Colorado Boulder, Linear Algebra  Python Programming
Web Applications and Command-Line Tools for Data Engineering, Duke University, Cloud Applications  Computer Programming  Computer Programming Tools  Amazon Web Services  Machine Learning  Python Programming  Cloud Engineering  Cloud Platforms
Advanced Django: Advanced Django Rest Framework, Codio, Django (Web Framework)  Javascript  Python Programming  React (web framework)  Web Development
Internet of Things: Sensing and Actuation From Devices, University of California San Diego, Internet Of Things  Python Programming
Laboratório de Programação Orientada a Objetos - Parte 1, Universidade de São Paulo, Computer Programming  Programming Principles  Java Programming  System Programming  Computer Programming Tools  System Software  Software Architecture  Software Engineering  Software Engineering Tools  Python Programming
Robotic Path Planning and Task Execution, University of Colorado Boulder, Python Programming
数据结构基础, Peking University, Problem Solving  Algebra  Mathematics  Programming Principles  Calculus  Computational Logic  Computational Thinking  Computer Programming  Mathematical Theory & Analysis  Python Programming  Algorithms  Data Structures
Razonamiento artificial, Universidad Nacional Autónoma de México, Computational Logic  Probability & Statistics  Computer Programming  Python Programming
Data Understanding and Visualization, University of Colorado Boulder, Data Visualization  Python Programming
مشاركة البيانات من خلال فن مؤثرات عرض التصور, Google, Computer Programming  Programming Principles  Computational Thinking  Problem Solving  Python Programming
Getting Started with Generative AI APIs, Codio, Python Programming
Images with  DALL-E, Codio, Python Programming
Machine Learning Pipelines with Azure ML Studio, Coursera Project Network, Computer Programming  Data Analysis  Data Science  Machine Learning  Microsoft Azure  Python Programming
Audio Signal Processing for Music Applications, Universitat Pompeu Fabra of Barcelona, Computer Programming  Mathematical Theory & Analysis  Mathematics  Python Programming  Algorithms  Applied Mathematics
Analyze Data in a Model Car Database with MySQL Workbench, Coursera Project Network, Data Analysis  Python Programming  SQL
Build and deploy a stroke prediction model using R, Coursera Project Network, Data Analysis  Data Visualization  Machine Learning  Python Programming  R Programming
Build LLM Apps with LangChain.js, DeepLearning.AI, Python Programming
Навыки Excel для бизнеса: Основы, Macquarie University, Programming Principles  Algebra  Mathematics  Problem Solving  Computer Programming  Differential Equations  Python Programming  Theoretical Computer Science
Cluster Analysis in Data Mining, University of Illinois at Urbana-Champaign, Machine Learning  Machine Learning Algorithms  Python Programming  Statistical Programming  Algorithms
Deep Learning with PyTorch : Generative Adversarial Network, Coursera Project Network, Deep Learning  Python Programming
파이썬 단기집중과정, Google, Computer Programming  Python Programming  Computational Thinking  Programming Principles
Forecast bikeshare demand using time series models in R, Coursera Project Network, Basic Descriptive Statistics  Data Analysis  Data Visualization  Interactive Data Visualization  Machine Learning  Python Programming
Understanding Technology and Data, Accenture, Data Analysis  Javascript  Python Programming
Manage Data for an Online Grocer Using MySQL Workbench, Coursera Project Network, Data Analysis  Data Visualization  Python Programming  SQL
Data Encryption using AWS KMS From UST, Coursera Project Network, Cryptography  Python Programming
Introduction to Bayesian Statistics, Databricks, General Statistics  Probability & Statistics  Probability Distribution  Bayesian Statistics  Python Programming
Fundamental Tools of Data Wrangling, University of Colorado Boulder, Python Programming
Basic Data Processing and Visualization, University of California San Diego, Computer Programming  Exploratory Data Analysis  Python Programming  Data Analysis  Programming Principles  Data Visualization
Use Commands and Create a Remote Git Repository, Coursera Project Network, Python Programming
Statistical Data Visualization with Seaborn From UST, Coursera Project Network, Data Science  Data Visualization  General Statistics  Machine Learning  Python Programming  Statistical Visualization
Unsupervised Text Classification for Marketing Analytics, University of Colorado Boulder, Machine Learning  Python Programming
Deploying Machine Learning Models, University of California San Diego, Machine Learning  Other Web Frameworks  Python Programming
Fake Instagram Profile Detector, Coursera Project Network, Deep Learning  Machine Learning  Python Programming  Social Media
Network Analysis for Marketing Analytics, University of Colorado Boulder, Network Analysis  Python Programming
Data Manipulation at Scale: Systems and Algorithms, University of Washington, Python Programming  SQL  Computer Programming
Optimize TensorFlow Models For Deployment with TensorRT, Coursera Project Network, Deep Learning  Python Programming  Tensorflow
Aerial Image Segmentation with PyTorch, Coursera Project Network, Python Programming
Data Analytics Foundations for Accountancy I, University of Illinois at Urbana-Champaign, Python Programming  Computer Programming  Mathematics  General Statistics
Auto Machine Learning (AutoML) Using AutoGluon, Coursera Project Network, Machine Learning  Python Programming
TensorFlow for AI: Neural Network Representation, Coursera Project Network, Deep Learning  Python Programming  Tensorflow
Recognizing Shapes in Images with OpenCV, Coursera Project Network, Python Programming
Choisir la Meilleure Méthode pour Illustrer les Données, Coursera Project Network, Data Analysis  Data Science  Data Visualization  Python Programming
Generative AI's Applications in Marketing Analytics, Edureka, Exploratory Data Analysis  Python Programming
Data for Machine Learning, Alberta Machine Intelligence Institute, Data Analysis  Machine Learning  Applied Machine Learning  Human Learning  Machine Learning Algorithms  Computer Programming  Linear Algebra  Python Programming  Statistical Analysis
Data Visualization using Plotly, Coursera Project Network, Data Visualization  Python Programming
التنسيق في مايكروسوفت إكسل | Formatting in MS Excel, Alfaisal University | KLD, Machine Learning  Python Programming  Microsoft Excel
Mining Quality Prediction Using Machine & Deep Learning, Coursera Project Network, Deep Learning  Machine Learning  Python Programming  Data Mining
AI Principles with Edge Computing, L&T EduTech, Python Programming
Traitement d'images : introduction au filtrage, Institut Mines-Télécom, Algorithms  Python Programming
A Practical Introduction to Test-Driven Development, LearnQuest, Python Programming  Software Engineering  Software Testing
إدارة البيانات في مايكرسوفت إكسل | Managing Data in MS Excel, Alfaisal University | KLD, Computer Programming  Machine Learning  Python Programming
Building a unique NLP project: 1984 book vs 1984 album, Coursera Project Network, Data Analysis  Natural Language Processing  Python Programming
TensorFlow for AI: Applying Image Convolution, Coursera Project Network, Deep Learning  Machine Learning  Python Programming  Tensorflow
Data Analytics Foundations for Accountancy II, University of Illinois at Urbana-Champaign, Python Programming
Machine Learning with Databricks: Process Data, Coursera Project Network, Machine Learning  Python Programming
Machine Learning for Kyphosis Disease Classification, Coursera Project Network, Data Science  Machine Learning  Python Programming
K-Means Clustering 101: World Happiness Report, Coursera Project Network, Machine Learning  Python Programming
Visual Machine Learning with Yellowbrick, Coursera Project Network, Data Science  Data Visualization  Human Learning  Machine Learning  Python Programming
Amazon Echo Reviews Sentiment Analysis Using NLP, Coursera Project Network, Natural Language Processing  Machine Learning  Python Programming
Create Docker Container with Flask Seaborn Regression Plot App, Coursera Project Network, Python Programming  Data Science  Docker (Software)  Linux
Inteligencia Artificial en Power BI, Coursera Project Network, Computer Programming  Power BI  Python Programming
Create a basic contacts list web app using Django, Coursera Project Network, Python Programming  Django (Web Framework)
Restful Web Service Spring Boot Visual Studio Code Gradle, Coursera Project Network, Python Programming
Simple Nearest Neighbors Regression and Classification, Coursera Project Network, Machine Learning  Python Programming  Regression  Statistical Analysis
Crash Course on Interactive Data Visualization with Plotly, Coursera Project Network, Data Analysis  Data Visualization  Python Programming
Data Mining for Smart Cities, IIT Roorkee, Mathematics  Python Programming
Data Visualization using Plotnine and ggplot, Coursera Project Network, Data Visualization  Python Programming
Evaluate Machine Learning Models with Yellowbrick, Coursera Project Network, Data Science  Data Visualization  Machine Learning  Python Programming
تعلّم أساسيات البرمجة بلغة بايثون من خلال التطبيق العملي, Coursera Project Network, Computer Programming  Computer Science  Python Programming
Interactive Word Embeddings using Word2Vec and Plotly, Coursera Project Network, Machine Learning  Natural Language Processing  Python Programming
Predict Ad Clicks Using Logistic Regression and XG-Boost, Coursera Project Network, Deep Learning  Machine Learning  Python Programming
تعرَف على هياكل البيانات في بايثون من خلال التطبيق العملي, Coursera Project Network, Python Programming
Facial Expression Classification Using Residual Neural Nets, Coursera Project Network, Deep Learning  Machine Learning  Python Programming  Computer Vision  Data Science
Analyzing Video with OpenCV and NumPy, Coursera Project Network, Python Programming
أساسيات تحليل البيانات باستخدام بايثون وباندا, Coursera Project Network, Data Analysis  Python Programming
Traitement d'images : segmentation et caractérisation, Institut Mines-Télécom, Algorithms  Python Programming
计算机系统基础（一） ：程序的表示、转换与链接, Nanjing University, Algebra  Calculus  Mathematics  Programming Principles  Computational Logic  Computer Programming  Problem Solving  Differential Equations  Python Programming  Theoretical Computer Science
Data Visualization using Bokeh, Coursera Project Network, Data Visualization  Python Programming
Aruba Network Automation Basics, HPE Aruba Networking, Python Programming
تنسيق النصوص في مايكروسوفت وورد |Formatting Text in MS Word, Alfaisal University | KLD, Computer Programming  Machine Learning  Python Programming
تنسيق الصفحات في مايكروسوفت وورد, Alfaisal University | KLD, Python Programming
Jet Fighters Game using Pygame, Coursera Project Network, Python Programming
Medical Diagnosis using Support Vector Machines, Coursera Project Network, Machine Learning  Python Programming
Integrating Test-Driven Development into Your Workflow, LearnQuest, Software Testing  Continuous Delivery  Python Programming
Malaria parasite detection using ensemble learning in Keras, Coursera Project Network, Machine Learning  Python Programming
Working with Datasets, Coursera Project Network, Data Analysis  Python Programming  Statistical Analysis
Introduction to Flask framework, Duke University, Python Programming
تمثيل البيانات رسومياً باستخدام بايثون - Data Visualization, Coursera Project Network, Data Visualization  Python Programming
Logistic Regression 101: US Household Income Classification, Coursera Project Network, Deep Learning  Machine Learning  Python Programming
Machine/Deep Learning for Mining Quality Prediction-Enhanced, Coursera Project Network, Deep Learning  Machine Learning  Python Programming
Text Generation with Cohere: Recognizing Similarities, Coursera Project Network, Python Programming
PyCaret: Anatomy of Regression, Coursera Project Network, Machine Learning  Python Programming  Regression
Create and Test a Document AI Processor, Google Cloud, Cloud API  Python Programming
Connecting Rasa Chatbot to External Platforms, Coursera Project Network, Python Programming
Build a Classification Model using PyCaret, Coursera Project Network, Machine Learning  Python Programming
Visualization of UK accidents using Plotly Express, Coursera Project Network, Python Programming
Analyze Text Data with Yellowbrick, Coursera Project Network, Data Science  Data Visualization  Machine Learning  Natural Language Processing  Python Programming
Perform Feature Analysis with Yellowbrick, Coursera Project Network, Data Science  Data Visualization  Machine Learning  Python Programming
Predicción del fraude bancario con autoML y Pycaret, Coursera Project Network, Machine Learning  Python Programming
User Authentication: Identity-Aware Proxy, Google Cloud, Cryptography  Python Programming
Building a Keras Horse Zebra CycleGAN Webapp with Streamlit, Coursera Project Network, Computer Vision  Python Programming
Regresión (ML) en la vida real con PyCaret, Coursera Project Network, Machine Learning  Python Programming  Regression
Introdução a Machine Learning em uma Competição do Kaggle, Coursera Project Network, Machine Learning  Python Programming
Build a film club web app on Google AppEngine, Coursera Project Network, Google App Engine  Python Programming
ML y Power BI para incrementar las ventas en Retail, Coursera Project Network, Power BI  Python Programming
Topic Modeling using PyCaret, Coursera Project Network, Machine Learning  Python Programming
Covid-19 Cases Forecasting Using Fbprophet, Coursera Project Network, Data Science  Machine Learning  Python Programming
Application using Amazon Rekognition, Coursera Project Network, Cloud API  Computer Vision  Machine Learning  Python Programming
Apply advanced testing for your Django web application, Coursera Project Network, Python Programming
AWS AutoGluon for Machine Learning Classification, Coursera Project Network, Machine Learning  Python Programming
Deploy Bridgerton NLP SMS Text Generator, Coursera Project Network, Natural Language Processing  Python Programming
Process Data with Microsoft Azure Synapse Link for Cosmo DB, Microsoft, Python Programming
Neuronales Netz von Scratch, Coursera Project Network, Computer Programming  Machine Learning  Python Programming
فك التشفير باستخدام لغة البرمجة بايثون, Coursera Project Network, Cryptography  Data Science  Machine Learning  Python Programming  Theoretical Computer Science
التشفير باستخدام بايثون: تشفير البيانات باستخدام key pairs, Coursera Project Network, Cryptography  Python Programming
Bilddaten Augmentieren mit Keras, Coursera Project Network, Computer Programming  Machine Learning  Python Programming
The Fundamentals of Computing Capstone Exam, Rice University, Computer Programming  Python Programming
Regression Analysis with Yellowbrick, Coursera Project Network, Data Science  Data Visualization  Machine Learning  Python Programming  Regression
AutoML avec AutoKeras - Classification d'images, Coursera Project Network, Deep Learning  Python Programming  Tensorflow
Using gsutil to Perform Operations on Buckets and Objects, Google Cloud, Cloud Computing  Cloud Storage  Python Programming
Digital Transformation with Google Cloud - בעברית, Google Cloud, Computer Programming  Problem Solving  Programming Principles  Python Programming  Communication  Leadership and Management
Build a Regression Model using PyCaret, Coursera Project Network, Machine Learning  Python Programming  Regression
Build a Clustering Model using PyCaret, Coursera Project Network, Machine Learning  Python Programming
Query Django models across relationships, Coursera Project Network, Python Programming
Introducción al Deep Learning, Coursera Project Network, Deep Learning  Python Programming
Flask تعلم تصميم تطبيقات الويب باستخدام بايثون و, Coursera Project Network, HTML and CSS  Python Programming
Image Classification on Autopilot with AWS AutoGluon, Coursera Project Network, Data Science  Deep Learning  Machine Learning  Python Programming
Machine Learning Interpretable: interpretML y LIME, Coursera Project Network, Machine Learning  Python Programming
Explorando lenguaje natural con NLTK, Coursera Project Network, Python Programming
MNIST Fashion Datensatz mit Tensorflow, Coursera Project Network, Computer Programming  Machine Learning  Python Programming  Tensorflow
تحليل البيانات باستخدام بايثون: تحليل حملات التسويق, Coursera Project Network, Data Analysis  Data Visualization  Exploratory Data Analysis  Python Programming
Desplegando un modelo de visión computacional con Azure ML, Coursera Project Network, Computer Vision  Machine Learning  Microsoft Azure  Python Programming
Data Science at Scale - Capstone Project, University of Washington, Python Programming
تنميط متقدم بتصميم سريع الاستجابة, University of Michigan, Computer Programming  Mathematics  Programming Principles  Calculus  Computer Programming Tools  Python Programming  Algebra  Computational Logic  Differential Equations
Creando un modelo de lenguaje natural con Spacy, Coursera Project Network, Python Programming
و تحميل البيانات و إخراجهاPandas شرح أساسيات استخدام, Coursera Project Network, Data Analysis  Data Science  Python Programming
Installing and configuring PyDev with Eclipse, Coursera Project Network, Python Programming
تثبيت وتكوين بايثون والملحقات ذات الصلة  في فيجوال ستوديو كود, Coursera Project Network, Software Engineering  Java Programming  Python Programming
تحليل المجموعات الهرمية باستخدام المسافات الإقليدية, Coursera Project Network, Python Programming
Descubriendo anomalías con Azure Anomaly Detector, Coursera Project Network, Python Programming
Trabajando con Azure Face API, Coursera Project Network, Python Programming
Data Science at Scale, University of Washington, Python Programming  SQL  Cloud Computing  Computer Programming  R Programming
Bases de Inteligencia Artificial para Todos, IBM, Machine Learning  Computer Programming  Algorithms  Programming Principles  Python Programming  Deep Learning  Machine Learning Algorithms  Statistical Machine Learning  Natural Language Processing  Artificial Neural Networks  Computational Logic  Data Analysis Software  Data Analysis  Software Engineering  Web Development  Operational Analysis  Software Engineering Tools  Web Development Tools  Applied Machine Learning  Computer Programming Tools  Data Structures  Leadership and Management  Strategy  Data Management  Data Visualization Software  Computer Vision  Feature Engineering  Business Analysis  Machine Learning Software  Databases  Software Visualization
Google Cloud Digital Leader Training  בעברית, Google Cloud, Computer Programming  Problem Solving  Programming Principles  Python Programming  Communication  Leadership and Management  Network Security
Principios de ingeniería de software automatizada y ágil Programa de Certificado MasterTrack®, Universidad de los Andes, Software Engineering  Correlation And Dependence  System Programming  Computer Programming  Software Architecture  Angular  Python Programming
Metodologías ágiles de desarrollo de software Programa de Certificado MasterTrack®, Universidad de los Andes, Scrum (Software Development)  Software Architecture  Software Engineering
Maestría en Inteligencia Analítica de Datos, Universidad de los Andes, Computer Programming  Extract  Transform  Load  Looker (Software)  Python Programming
Master of Science in Machine Learning and Data Science, Imperial College London, 
Master of Science in Information Systems, Northeastern University, 
Master of Science in Data Science (Statistics), University of Leeds, 
Maestría en Inteligencia Artificial, Universidad de los Andes, Software Engineering  Correlation And Dependence  System Programming  Computer Programming  Software Architecture  Angular  Data Model  DevOps  Python Programming  Scrum (Software Development)  User Experience
Maestría en Ingeniería de Software, Universidad de los Andes, Software Engineering  Correlation And Dependence  System Programming  Computer Programming  Software Architecture  Angular  Data Model  DevOps  Python Programming  Scrum (Software Development)  User Experience
Master of Data Science, University of Pittsburgh, Data Science  Linear Algebra  Machine Learning  Mathematics  Python Programming  R Programming
Post Graduate Certificate in Deep Learning for Computer Vision & Extended Reality (XR), IIT Guwahati, Data Science  Linear Algebra  Machine Learning  Mathematics  Python Programming  R Programming
Post Graduate Certificate in Data Science & Machine Learning, IIT Roorkee, Data Science  Linear Algebra  Machine Learning  Mathematics  Python Programming  R Programming
Data Science Graduate Certificate, University of Colorado Boulder, Probability & Statistics  General Statistics  Probability Distribution  Machine Learning  Statistical Analysis  Statistical Tests  Regression  Statistical Machine Learning  Machine Learning Algorithms  Python Programming  Estimation  Statistical Programming  Correlation And Dependence  Data Analysis  Applied Machine Learning  Mathematics  Calculus  Experiment  Deep Learning  Dimensionality Reduction  Data Mining  Linear Algebra  Data Science  Data Warehousing  R Programming
Post Graduate Certificate in Machine Learning for Finance, IIT Roorkee, Machine Learning  Python Programming  R Programming  Risk Management
Post Graduate Certificate in Advanced Machine Learning & AI, IIT Roorkee, Machine Learning  Python Programming  R Programming
Post Graduate Certificate in Strategic Supply Chain Management with AI, IIT Roorkee, Machine Learning  Python Programming  R Programming
Prompt Engineering, Vanderbilt University, Creativity  Data Analysis  Leadership and Management  Problem Solving  Writing
Cloud Application Development Foundations, IBM, Cloud Computing  Cloud Applications  IBM Cloud  Javascript  Cloud Infrastructure  Cloud Platforms  Web Development  DevOps  Cloud Management  Computer Programming  Cloud API  Continuous Integration  Cloud Storage  Software As A Service  Continuous Delivery  NoSQL  Computer Science  Front-End Web Development  React (web framework)
Foundations of Project Management, Google, Project Management  Strategy and Operations  Business Communication  Change Management  Organizational Development  Communication  Culture  Emotional Intelligence  Influencing  Leadership and Management  People Management  Planning
Meta Front-End Developer, Meta, HTML and CSS  Javascript  Front-End Web Development  React (web framework)  Web Development  User Experience  Algorithms  Computer Science  Web Design  Application Development  Computer Programming  Software Engineering  Web Development Tools  Collaboration  Communication  Data Structures  Human Computer Interaction  Interactive Design  Linux  Problem Solving  Product Design  Software Engineering Tools  Software Testing
Meta Social Media Marketing, Meta, Marketing  Digital Marketing  Social Media  Advertising  Communication  Media Strategy & Planning  Marketing Management  Customer Analysis  Brand Management  Business Analysis  Marketing Design  Sales  Strategy and Operations  Data Analysis  General Statistics  Market Analysis  Probability & Statistics  Leadership and Management  Research and Design  Creativity  Planning  Entrepreneurship
IBM Applied DevOps Engineering, IBM, DevOps  Software Engineering  Cloud Computing  Continuous Delivery  Continuous Integration  Application Development  Cloud Applications  Software Architecture  Security Engineering  Kubernetes  Computer Programming  Cloud Infrastructure  Cloud-Based Integration  Microarchitecture  Software Testing  Agile Software Development  Cloud Platforms  IBM Cloud  Docker (Software)  Scrum (Software Development)  Software Security  Leadership and Management
Technical Support Fundamentals, Google, Communication  Computer Architecture  Computer Networking  Customer Support  Networking Hardware
Meta React Native, Meta, React (web framework)  Javascript  Mobile Development  Mobile Development Tools  Web Development  HTML and CSS  Front-End Web Development  Web Development Tools  Application Development  Computer Programming  User Experience  Web Design  Cross Platform Development  Software Engineering Tools  SQL  Software Engineering  Agile Software Development  Collaboration  Data Management  Human Computer Interaction  Interactive Design  Linux  Product Design  Product Lifecycle  Project Management
Introduction to Finance and Accounting, University of Pennsylvania, Accounting  Finance  Financial Accounting  General Accounting  Financial Analysis  Generally Accepted Accounting Principles (GAAP)  Accounts Payable and Receivable  Cost Accounting  Account Management  Cash Management  Decision Making  Estimation  Investment Management  Taxes  Budget Management  Management Accounting  Problem Solving  Mathematical Theory & Analysis  Mathematics  Data Analysis  Entrepreneurship
Prompt Engineering for ChatGPT, Vanderbilt University, Creativity  Problem Solving  Writing
Ask Questions to Make Data-Driven Decisions, Google, Business Communication  Data Analysis  Spreadsheet Software  Big Data  Communication  Leadership and Management  Problem Solving  Small Data
Financial Markets, Yale University, Finance  Investment Management  Risk Management  Banking  Behavioral Economics  Critical Thinking  Decision Making  Financial Analysis  Innovation  Regulations and Compliance  Leadership and Management
Análisis de Datos de Google, Google, Data Analysis  Data Management  Databases  Exploratory Data Analysis  Data Visualization  SQL  Business Analysis  Microsoft Excel  Process Analysis  Statistical Programming  Data Structures  Extract  Transform  Load  Spreadsheet Software  Communication  Computer Programming  Problem Solving  Strategy  Visualization (Computer Graphics)  Database Theory  Organizational Development  People Analysis  Tableau Software  Data Analysis Software  Plot (Graphics)  Programming Principles  R Programming  Strategy and Operations  Research and Design  Business Communication  Computer Graphics  Data Model  Security Engineering
Advanced Learning Algorithms, DeepLearning.AI, Applied Machine Learning  Machine Learning  Machine Learning Algorithms  Algorithms  Artificial Neural Networks  Deep Learning  Network Model  Tensorflow  Machine Learning Software  Decision Making
The Bits and Bytes of Computer Networking, Google, Computer Networking  Network Architecture  Network Model  Networking Hardware  Network Analysis  Critical Thinking  Problem Solving  Computer Architecture  Human Computer Interaction  Network Security  Cloud Computing
Introduction to Psychology, Yale University, Critical Thinking
Introduction to Statistics, Stanford University, General Statistics  Probability & Statistics  Statistical Analysis  Critical Thinking  Basic Descriptive Statistics  Data Analysis  Statistical Tests  Probability Distribution  Problem Solving  Statistical Visualization
Construction Management, Columbia University, Project Management  Leadership and Management  Strategy and Operations  Planning  Estimation  Operations Management  Budget Management  Accounting  Decision Making  Finance  Cost Accounting  Critical Thinking  Mathematical Theory & Analysis  Financial Accounting  Performance Management  Strategy  Financial Analysis  Investment Management  Financial Management  Process Analysis  Risk Management  Computational Logic  Statistical Visualization  Collaboration  Innovation  Data Visualization  Change Management  Research and Design  Business Transformation  Supply Chain and Logistics  Feature Engineering  Entrepreneurship
Diseño de Experiencia del Usuario (UX) de Google, Google, User Experience  User Experience Design  Research and Design  Visual Design  Communication  Design and Product  Persona Research  Product Design  User Research  Adaptability  Graphic Design  Interactive Design  Collaboration  Leadership and Management  Mobile Development  Organizational Development  Planning  Web Design  Audit
Entrepreneurship, University of Pennsylvania, Entrepreneurship  Strategy  Leadership and Management  Strategy and Operations  Planning  Business Development  Business Analysis  Entrepreneurial Finance  Innovation  Finance  Financial Management  Market Research  Business Design  Critical Thinking  Product Strategy  Business Process Management  Business Psychology  Decision Making  Financial Accounting  Financial Analysis  Marketing  Accounting  Design and Product
Agile Project Management, Google, Agile Software Development  Software Engineering  Project Management  Scrum (Software Development)  Strategy and Operations  Collaboration  Leadership and Management  Communication  Entrepreneurship  Product Management  Influencing  Problem Solving
Search Engine Optimization (SEO), University of California  Davis, Marketing  Search Engine Optimization  Digital Marketing  Strategy  Social Media  User Experience  Customer Analysis  Media Strategy & Planning  User Research  Web Development  Market Analysis  Data Analysis  Market Research  Marketing Psychology  User Experience Design  Web Development Tools  Algorithms  Brand Management  Communication  Critical Thinking  Decision Making  Influencing  Audit  Writing
Data Analysis and Presentation Skills: the PwC Approach, PwC, Data Analysis  Business Analysis  Data Management  Data Visualization  Microsoft Excel  Data Analysis Software  Spreadsheet Software  Problem Solving  Statistical Analysis  Interactive Data Visualization  Data Structures  Statistical Visualization  Extract  Transform  Load  Data Model  Data Visualization Software  General Statistics  Big Data  Critical Thinking  Professional Development  Decision Making  Communication  Business Communication  Storytelling  Customer Analysis  Forecasting  Visual Design  Planning
Connected Leadership, Yale University, Leadership and Management  Change Management  People Management  Process Analysis
Foundations of Positive Psychology, University of Pennsylvania, Resilience
Leadership Skills, IIMA - IIM Ahmedabad, Communication  Leadership and Management  People Management
Linear Algebra for Machine Learning and Data Science, DeepLearning.AI, Algebra  Linear Algebra  Machine Learning
The Science of Well-Being, Yale University, Negotiation  Game Theory  Strategy
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator, Yale University, Negotiation  Game Theory  Strategy
Data Science, Johns Hopkins University, R Programming  Data Analysis  Statistical Programming  Statistical Analysis  Computer Programming  Exploratory Data Analysis  General Statistics  Problem Solving  Probability & Statistics  Computer Programming Tools  Critical Thinking  Programming Principles  Statistical Tests  Data Management  Data Structures  Statistical Machine Learning  Basic Descriptive Statistics  Algorithms  Data Model  Human Learning  Machine Learning  Machine Learning Algorithms  Process Analysis  Correlation And Dependence  Data Visualization  Data Visualization Software  Plot (Graphics)  Regression  Computer Graphics  Applied Machine Learning  Big Data  Computational Thinking  Estimation  Extract  Transform  Load  Probability Distribution  Databases  Interactive Data Visualization  Machine Learning Software  Communication  Computer Graphic Techniques  Knitr  Natural Language Processing  Visualization (Computer Graphics)  Product Development  Web Development
ChatGPT Advanced Data Analysis, Vanderbilt University, Data Analysis
People and Soft Skills for Professional and Personal Success, IBM, Leadership and Management  Communication  Problem Solving  Critical Thinking  Planning  Professional Development  Collaboration  People Management  Conflict Management
HTML  CSS  and Javascript for Web Developers, Johns Hopkins University, Front-End Web Development  HTML and CSS  Javascript  Web Development
Foundations of Management, IESE Business School, Leadership and Management  Accounting  Financial Accounting  Communication  Customer Analysis  Design and Product  Human Resources  Market Analysis  Marketing  Strategy and Operations  Finance  Financial Management  Leadership Development  Marketing Design  Product Marketing  Strategy  Employee Relations  Management Accounting  Market Research  People Development  People Management  Business Psychology  Collaboration  Culture  Financial Analysis
Getting started with Google Workspace, Google Cloud, Collaboration  Google Cloud Platform  Communication  Cloud Applications  User Experience  Cloud Platforms  Leadership and Management  Cloud Computing  Business Communication  Organizational Development  Cloud Storage  Data Management  Planning  Problem Solving  Business Analysis  People Management  Spreadsheet Software  Business Process Management  Other Cloud Platforms and Tools  Project Management  Writing  Professional Development  Data Analysis  Strategy  Exploratory Data Analysis  Design and Product  Visual Design  Graphic Design
Soporte de Tecnologías de la Información de Google, Google, Communication  Computer Networking  Computer Architecture  Operating Systems  Network Security  Networking Hardware  Security Engineering  Network Architecture  Software Security  Human Computer Interaction  Security Software  Software-Defined Networking  System Software  Theoretical Computer Science  Cloud Computing  Data Management  Computational Logic  Network Model  Customer Support  System Security  Security Strategy  Cryptography  Problem Solving  Programming Principles  Adaptability  Linux
Branding: The Creative Journey, IE Business School, Brand Management  Marketing  Leadership and Management  Advertising  Communication  Strategy  Creativity  Strategy and Operations  Digital Marketing  User Experience  Customer Analysis  Design and Product  Media Strategy & Planning  Customer Relationship Management  Customer Success  Customer Support  Social Media  Storytelling  User Experience Design  Visual Design  Graphic Design  Journalism
